TITLE = "New Centroid Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
5.171832700684937389e-01 8.533892432510531423e-01 6.517871327860225161e-02
4.956975958272095140e-01 8.477652857887080229e-01 1.886210849897608788e-01
5.096156328231277177e-01 8.561944283730593686e-01 8.498827922256754763e-02
4.426613684661317993e-01 7.925609341499132432e-01 4.194020487874472458e-01
6.312380570743234554e-01 -6.444717304859991502e-01 -4.315028434499760812e-01
6.005914026153780227e-01 -6.184665631485432025e-01 -5.067436012143833324e-01
6.284985040045135696e-01 -7.009540119170573069e-01 -3.371247597573787114e-01
5.955373160914360087e-01 -8.022950837552539349e-01 -4.071736392203158944e-02
3.845412904242045404e-01 -8.367069439216009430e-01 3.899352330224373220e-01
6.357764410690956991e-01 -6.691222714966480467e-01 -3.847904660574125724e-01
6.004954366722816683e-01 -6.804543134314269270e-01 -4.199847114697524142e-01
6.073493248180185100e-01 -6.941004379632915722e-01 -3.864600621827098403e-01
6.004502342624125077e-01 -6.867397528049323796e-01 -4.096926019488688619e-01
5.966213930381194519e-01 -6.815453357652192512e-01 -4.237202717193602752e-01
5.593896890876600692e-01 -6.040065347098551030e-01 -5.676788544328594810e-01
6.146617094668177517e-01 -7.031619348780815404e-01 -3.574273020543367041e-01
5.950920845336805654e-01 -6.792064191806284068e-01 -4.295859065067048066e-01
6.206952260801810173e-01 -7.077180794075769166e-01 -3.374500798650427735e-01
6.393174135927309765e-01 -6.796755565484955408e-01 -3.596030902364352744e-01
6.152626998151865534e-01 -7.131352980814629205e-01 -3.359908582780052888e-01
6.229644141327767004e-01 -7.066188677585972799e-01 -3.355668554129926373e-01
6.385729563733133496e-01 -6.826420002670741116e-01 -3.552808450508053162e-01
5.633666382032166409e-01 -6.083446831562553392e-01 -5.590480993931747911e-01
5.989590123809961364e-01 -6.697157514877544182e-01 -4.390090132295397241e-01
5.619732977520552897e-01 -6.066821628760519225e-01 -5.622479576323201611e-01
6.009413401615114614e-01 -6.808766146290181620e-01 -4.186604129079005698e-01
5.601906340099287451e-01 -6.045583654699903109e-01 -5.662999525938596790e-01
6.082770737852998266e-01 -6.917970695280225568e-01 -3.891218525084823021e-01
5.580979325402865010e-01 -6.052942814424011608e-01 -5.675786558243580693e-01
5.554267895848324921e-01 -5.994985552940207407e-01 -5.762834056363833612e-01
5.571834269573916476e-01 -6.066002384777053891e-01 -5.670826918561419072e-01
5.965128616021790897e-01 -6.500658193516370975e-01 -4.707301099928326016e-01
5.565412129600341151e-01 -6.114885150509518086e-01 -5.624443743498159787e-01
5.752534053423472571e-01 -5.968711901714671697e-01 -5.593105595153103904e-01
5.433481515165738962e-01 -5.748570715485764593e-01 -6.118105372859454771e-01
5.751968047191997613e-01 -6.175786926057851289e-01 -5.364188608542319603e-01
5.678533197262554122e-01 -6.075068745384474278e-01 -5.554079623703628288e-01
5.876989908963934361e-01 -6.376842167035676745e-01 -4.979645929848007802e-01
5.836292195479778622e-01 -5.971341907337742727e-01 -5.502796492207746581e-01
5.556553948851608027e-01 -6.000800178275694785e-01 -5.754572567437827857e-01
5.585830051770918070e-01 -6.038786159106348528e-01 -5.686085152133979470e-01
5.565422112088266315e-01 -6.032409936867159095e-01 -5.712802032966425303e-01
5.596429906485982375e-01 -6.023357923771415212e-01 -5.692023508729509018e-01
5.556739992260743000e-01 -5.989214837775859168e-01 -5.766450059211088996e-01
5.574096846085817569e-01 -6.020293230086175562e-01 -5.717124607198508235e-01
5.642670664944515746e-01 -5.982877817756192540e-01 -5.689063260746491935e-01
5.632623765776910707e-01 -5.823295086596547154e-01 -5.861977810229721531e-01
6.479512530304469831e-01 -6.866598733378856956e-01 -3.296322072308354723e-01
5.423005198181642950e-01 -5.591830284296240849e-01 -6.270761412469963991e-01
5.529096248538576397e-01 -5.693823007229013022e-01 -6.083541257914356626e-01
5.482902622612245702e-01 -5.699932718764134654e-01 -6.119521699652175073e-01
5.432076028339525298e-01 -5.720980599813083600e-01 -6.145155083388978978e-01
5.074845358888329105e-01 -5.475124983657224664e-01 -6.653491639485396014e-01
9.904155375173622211e-01 -9.573179226167084777e-02 -9.956147344511707964e-02
5.571437310085461947e-01 -5.261462169725872329e-01 -6.424648016532203965e-01
9.901729780578255591e-01 -9.304290366592297967e-02 -1.044054194068035901e-01
8.509217752812777702e-01 -3.489039934563616940e-01 -3.926807045200487178e-01
9.848758573541451788e-01 1.437594732748710691e-01 -9.670966572514447246e-02
6.228530779863473699e-01 -4.389462803998862572e-01 -6.475957119731705625e-01
5.609977082073327459e-01 -6.131278795865993114e-01 -5.561976039680149864e-01
5.796079506324907094e-01 8.143346822316385181e-01 3.022662532107276909e-02
5.713999774425874145e-01 8.136185477412788414e-01 1.073635159166416025e-01
5.820535484894566736e-01 8.122621145329903536e-01 3.799899979245504461e-02
5.639468217931875582e-01 8.190220963141683352e-01 1.056730237028731256e-01
5.687244050495677827e-01 8.156719135121808240e-01 1.059805671262067372e-01
5.659057936521161292e-01 8.184108408704799942e-01 9.977137994757026562e-02
5.688688334845635186e-01 8.144917638237219037e-01 1.139798971452170712e-01
5.661419855203914109e-01 8.169525235700889620e-01 1.098718638391653346e-01
5.707141175822620927e-01 8.133064879502520661e-01 1.132163974445679205e-01
5.887066015438142674e-01 6.431998022340342791e-01 4.896106123286462775e-01
5.769851454706713678e-01 7.910396602193947579e-01 2.033332187965674331e-01
5.682976244134843036e-01 8.121217459221873325e-01 1.322727480862497529e-01
5.686562921660021086e-01 8.156822972673706262e-01 1.062657579121289442e-01
5.052414090761555565e-01 3.821488965540382754e-01 7.737527637542057635e-01
5.658411817072891425e-01 8.155752697089124759e-01 1.210815284150861815e-01
4.224670040328968867e-01 -8.150883166205233898e-01 3.964248561987375741e-01
4.204491870443702872e-01 -8.206440441696036814e-01 3.869959093875358080e-01
4.177864769899610198e-01 -8.247086726563456205e-01 3.811955730195792924e-01
4.241769751209567563e-01 -8.101988354410012416e-01 4.045389237481119005e-01
4.270401192424269632e-01 -8.077831420738244006e-01 4.063534569051349687e-01
4.202187149640147501e-01 -8.196352903442731819e-01 3.893767101615749349e-01
4.196669532474872621e-01 -8.231140586760986588e-01 3.825740382745949630e-01
3.885377606243660686e-01 -8.294791730986647016e-01 4.012514298598303664e-01
3.914077844265844153e-01 -8.280126554060468491e-01 4.014909572801106941e-01
3.897554225631466029e-01 -8.298492821066268954e-01 3.993004878155531623e-01
3.944019323946957312e-01 -8.270084483294876110e-01 4.006296820194216735e-01
3.909864039034572913e-01 -8.329816294406333643e-01 3.914987062265595230e-01
3.887650685119977134e-01 -8.273168681657324663e-01 4.054732064555014448e-01
4.034938248247596504e-01 -8.347513539984966480e-01 3.746770747269744239e-01
4.277345512754558987e-01 -8.133004217130942459e-01 3.944433770346350565e-01
3.882787358230373465e-01 -8.285095852676254147e-01 4.034990587688294661e-01
4.000783904601984409e-01 -8.246102296165558343e-01 3.999440594614550593e-01
4.202376268372894352e-01 -8.244106747561508186e-01 3.791403122041644425e-01
4.240939386784158271e-01 -8.063546002463540807e-01 4.122336592731973282e-01
3.977929301326657008e-01 -8.278507285832857887e-01 3.955046850804565528e-01
4.152598896440122256e-01 -8.320196531683204944e-01 3.678349097006842761e-01
4.201460276735862753e-01 -8.233821015434473756e-01 3.814698288043266716e-01
4.081765364124338991e-01 -8.244183183156384986e-01 3.920795219696681655e-01
4.223175977531237746e-01 -8.205456027084512272e-01 3.851658869939745822e-01
4.092151931493522299e-01 -8.247049300810797012e-01 3.903904506973752686e-01
4.168702366667551007e-01 -8.251791012754998711e-01 3.811806088976220086e-01
5.194934974322689136e-01 -7.700199104178792053e-01 3.703995730095142602e-01
4.216099649429335683e-01 -8.173185483835679888e-01 3.927281858092128708e-01
4.208548232979105741e-01 -8.223759111033637215e-01 3.828564725113012268e-01
4.153766475709098627e-01 -8.260951241294686165e-01 3.808268458791606026e-01
4.231689164444146778e-01 -8.198907462732141216e-01 3.856257672028829964e-01
4.201192826159840243e-01 -8.229895890701818262e-01 3.823452950623615898e-01
4.172682338459919871e-01 -8.238109862959608343e-01 3.836960774898836024e-01
4.169303013608662289e-01 -8.160098927006008696e-01 4.003710514284106736e-01
4.232662751684355684e-01 -8.067812749778828785e-01 4.122494810792365905e-01
3.836073061663768935e-01 -8.285633039982376324e-01 4.078336498172995817e-01
3.910407595568822225e-01 -8.265763815709948892e-01 4.047945278708418582e-01
3.869292958977710861e-01 -8.271585804147070231e-01 4.075468105903684579e-01
3.886050486123398540e-01 -8.271758797568556920e-01 4.059140058454164257e-01
